StateFileID,turnout2020
f4129a9409fa8c4428f0eefa1ab326d6,1
e19d6a2e31912b7f68c262c7e7c7af4a,1
eb8ab04d155ce929a6498647e0b4ea42,1
ac56cddc5254d08cbbbff7cfcf58cb3d,0
585fdff74a32e9c3180cd9c6c1ac46bb,0
34373831c557e58f4ca9435fd43518c5,1
6c507dc9efb56148fe0c0caf13165359,1
baee8637f4e39de1a3bc7c54fcbe7786,0
ead6dd44b043e3043aa0d0d667b4356f,0
9893652e55d8d38fdf10f5ad7f0a806b,0
3560aa582618a500e3a5c7bc2b863743,0
9ac7424c0cee428028b6c2ab1becd189,0
79080019403e51500b5dcb19161ed68a,1
ca59fbe90583634e231fbc4c14f1e147,0
487374937b66f13e75b2349f10a340af,0
c65d93515903737be8cd742a1b527cf7,0
1705696180b21c2c3c8ce9cc46032856,1
37fafb2c6c4d77ef09604e23e60f32a1,1
4073e65217b539c2f77209863e1e51f2,0
62d08a5615e54ac5634403619986adb1,1
e8943ac65ecc4e15e049b5152ba750df,1
6af6f78efd0dfacd44ab1d038c558e74,0
a310751babf3b1182f22cb97727366ab,0
561727e1c4f5fb0291a9dd933bb95206,1
32a38e51778d721878d930ff820965fe,1
cd6a9f11de57af28e4bbc549355f45ad,0
68ea4f2042aea618d4b0de934ae346d2,0
9d3a34c99969e146f14611d6141297f3,0
e78eb0114a8ffa3de1692709cbee85ac,0
12ea5f4b69c354a77fce2b757d979bd2,0
a28b354c01664a86c3b9636752d52040,0
39f680eb559d350fab02580b40ef09e9,0
fc43830509783137efec923b8b764374,1
3320ee40b5bccfdabc3294174f841e0c,0
77c8f38dffdad2fe1e5e9693819117e9,1
2fdbe2f604ce1dfca6666db95cc3110a,0
e5955301597cc1bc8580bbfdb143afcf,1
2722a0fa33e7a4f2df9a024a98b9a29e,0
68c0aa902e47e0d01a4acfda565c2100,0
0a401755fd6210fb86e77b08b9a262c5,1
e5afc6a27fedcb5e2d7e6aa858410a6a,0
38d6799eeb1b3e38bf0511f3f9cafece,1
bf31a9d98a9b958add00f66888f1678c,1
8fbae30a8c26970966353e6729b90771,1
1e412152bf6983cddb79447e95c5df80,0
a823216ca6d4373e17c799999c27b093,1
09a240f57437a8b8d2256660b5754b81,0
1e7fb6cedbdd57fd4a83094e35e5230a,1
0c1fbca7ec84992795a846c21cef5d66,1
6a415f400f9da98621ce6c52ee674cae,1
c92e05980d25821826111b97bb3c0b85,1
d6e78aca79325e04fcca8e44497587e8,1
b51ee8da3eabbe2275ee4e4fcd56466c,1
1b497ed100aaa2a40c88e620cfbf3210,0
bd4948e95695205a217d2d9f1218c274,1
1883665f1da03b63d575997030ff70d2,0
31a35321be6e85155c2843ee823cbef9,0
4ae26b229930c04569fdac9a853a3684,0
192cebd5e0561aa614138e555f365144,0
6aabea66e0fd99b97213b8681acef35d,0
9b21499d482a0e223bc92c7d3b1cc148,1
18fb23b3022fd5efb88e836b07f47060,0
9cc9489afec8741f7424aac1f005f1a8,0
d4bbc0789fe233c1907792ccdaa72b83,0
1a5af0657d9d1e7af34545a3ba97c062,0
8e98d388cab0de113dc4a27f258187a5,1
b723ee5c955d8772b37180ecbeed565a,0
6dd1288a2618cde82dc6ab4ca52b3933,0
bd9d6a26761346b970fcb0d1743aad12,0
fe5b0073c61feece9c7fc2c24d1f50fc,0
05d3922dd6e40b9a7b6e1a83046cba12,1
016c6e181349cca8142356e34a03a35c,0
fe3d85a7a92cdb0192696cd4a7366e4c,0
